经度,纬度,海拔
104.461196899414,29.530401229858,654.28
104.461112976074,29.530447006226,655.62
104.461021423340,29.530492782593,656.41
104.460929870605,29.530538558960,656.29
104.460845947266,29.530584335327,656.16
104.460754394531,29.530632019043,656.04
104.460662841797,29.530677795410,654.76
104.460578918457,29.530723571777,653.47
104.460487365723,29.530769348145,652.19
104.460403442383,29.530815124512,650.90
104.460311889648,29.530860900879,649.61
104.460220336914,29.530906677246,648.39
104.460136413574,29.530952453613,647.34
104.460044860840,29.530998229980,646.29
104.459953308105,29.531045913696,645.11
104.459869384766,29.531091690063,642.36
104.459800720215,29.531126022339,640.22
104.459785461426,29.531143188477,639.95
104.459732055664,29.531217575073,638.76
104.459671020508,29.531291961670,637.54
104.459617614746,29.531368255615,636.29
104.459556579590,29.531442642212,635.04
104.459503173828,29.531517028809,633.79
104.459442138672,29.531591415405,632.54
104.459381103516,29.531665802002,631.30
104.459327697754,29.531740188599,630.05
104.459266662598,29.531816482544,628.80
104.459213256836,29.531890869141,628.04
104.459152221680,29.531965255737,627.32
104.459114074707,29.532022476196,626.78
104.459091186523,29.532030105591,626.15
104.458992004395,29.532066345215,623.54
104.458900451660,29.532102584839,620.93
104.458808898926,29.532138824463,618.33
104.458709716797,29.532175064087,615.57
104.458618164062,29.532211303711,610.47
104.458518981934,29.532247543335,605.38
104.458427429199,29.532283782959,601.56
104.458335876465,29.532320022583,598.34
104.458236694336,29.532356262207,595.12
104.458145141602,29.532392501831,591.91
104.458045959473,29.532428741455,588.69
104.457954406738,29.532464981079,586.85
104.457862854004,29.532501220703,586.11
104.457763671875,29.532537460327,585.37
104.457672119141,29.532573699951,584.63
104.457580566406,29.532609939575,583.88
104.457481384277,29.532646179199,583.14
104.457389831543,29.532682418823,582.40
104.457290649414,29.532718658447,582.89
104.457199096680,29.532754898071,586.42
104.457107543945,29.532791137695,589.94
104.457008361816,29.532827377319,593.47
104.456916809082,29.532863616943,596.99
104.456825256348,29.532899856567,598.56
104.456726074219,29.532936096191,599.23
104.456634521484,29.532972335815,599.96
104.456535339355,29.533008575439,603.38
104.456443786621,29.533044815063,606.80
104.456352233887,29.533081054688,610.55
104.456253051758,29.533117294312,614.73
104.456161499023,29.533153533936,618.92
104.456062316895,29.533189773560,623.10
104.456016540527,29.533208847046,625.32
104.456008911133,29.533166885376,626.50
104.455986022949,29.533079147339,629.01
104.455970764160,29.532991409302,631.53
104.455947875977,29.532901763916,634.04
104.455932617188,29.532814025879,636.05
104.455909729004,29.532726287842,638.01
104.455894470215,29.532636642456,639.97
104.455871582031,29.532548904419,639.29
104.455856323242,29.532461166382,638.19
104.455833435059,29.532373428345,637.14
104.455818176270,29.532283782959,636.12
104.455795288086,29.532196044922,635.11
104.455780029297,29.532108306885,634.09
104.455757141113,29.532018661499,633.07
104.455741882324,29.531930923462,632.06
104.455718994141,29.531843185425,631.04
104.455703735352,29.531755447388,630.02
104.455680847168,29.531665802002,629.01
104.455673217773,29.531621932983,628.50
104.455665588379,29.531578063965,627.99
104.455642700195,29.531490325928,626.97
104.455627441406,29.531400680542,625.96
104.455604553223,29.531312942505,624.94
104.455589294434,29.531225204468,623.79
104.455566406250,29.531137466431,622.33
104.455551147461,29.531047821045,622.03
104.455528259277,29.530960083008,622.56
104.455513000488,29.530872344971,623.09
104.455490112305,29.530782699585,623.62
104.455474853516,29.530694961548,624.14
104.455451965332,29.530607223511,624.67
104.455436706543,29.530519485474,625.20
104.455413818359,29.530429840088,625.72
104.455398559570,29.530342102051,626.25
104.455375671387,29.530254364014,626.78
104.455360412598,29.530164718628,627.31
104.455337524414,29.530076980591,627.74
104.455322265625,29.529989242554,628.12
104.455299377441,29.529901504517,628.51
104.455284118652,29.529811859131,628.89
104.455261230469,29.529724121094,629.27
104.455245971680,29.529636383057,629.66
104.455223083496,29.529546737671,629.93
104.455207824707,29.529458999634,627.58
104.455184936523,29.529371261597,625.23
104.455169677734,29.529283523560,622.88
104.455146789551,29.529193878174,620.53
104.455131530762,29.529106140137,618.18
104.455108642578,29.529018402100,615.83
104.455093383789,29.528928756714,613.47
104.455070495605,29.528841018677,612.20
104.455055236816,29.528753280640,611.39
104.455032348633,29.528665542603,610.57
104.455017089844,29.528575897217,609.76
104.454994201660,29.528488159180,608.92
104.454986572266,29.528429031372,608.26
104.454956054688,29.528408050537,608.22
104.454879760742,29.528348922729,608.08
104.454803466797,29.528289794922,607.93
104.454727172852,29.528230667114,607.79
104.454650878906,29.528169631958,607.65
104.454574584961,29.528110504150,607.50
104.454498291016,29.528051376343,607.36
104.454421997070,29.527990341187,607.22
104.454338073730,29.527931213379,607.08
104.454261779785,29.527872085571,606.93
104.454185485840,29.527811050415,605.92
104.454109191895,29.527751922607,603.77
104.454032897949,29.527692794800,601.61
104.453956604004,29.527633666992,599.46
104.453880310059,29.527572631836,597.31
104.453804016113,29.527513504028,595.16
104.453727722168,29.527454376221,593.00
104.453643798828,29.527393341064,590.77
104.453567504883,29.527334213257,588.47
104.453491210938,29.527275085449,586.17
104.453414916992,29.527214050293,583.86
104.453338623047,29.527154922485,581.56
104.453262329102,29.527095794678,579.26
104.453186035156,29.527036666870,576.96
104.453109741211,29.526975631714,574.66
104.453033447266,29.526916503906,572.35
104.452949523926,29.526857376099,570.82
104.452873229980,29.526796340942,570.52
104.452796936035,29.526737213135,571.32
104.452720642090,29.526678085327,572.40
104.452644348145,29.526617050171,573.49
104.452568054199,29.526557922363,574.58
104.452491760254,29.526498794556,576.09
104.452415466309,29.526439666748,579.44
104.452339172363,29.526378631592,583.50
104.452255249023,29.526319503784,587.56
104.452178955078,29.526260375977,591.61
104.452102661133,29.526199340820,595.67
104.452026367188,29.526140213013,599.73
104.451950073242,29.526081085205,603.79
104.451889038086,29.526031494141,607.07
104.451881408691,29.526016235352,607.53
104.451850891113,29.525930404663,609.98
104.451812744141,29.525846481323,612.43
104.451782226562,29.525760650635,614.58
104.451751708984,29.525674819946,615.63
104.451721191406,29.525588989258,617.34
104.451683044434,29.525505065918,619.05
104.451652526855,29.525419235229,620.75
104.451622009277,29.525333404541,622.46
104.451583862305,29.525249481201,624.17
104.451553344727,29.525163650513,625.87
104.451522827148,29.525077819824,627.58
104.451492309570,29.524993896484,628.17
104.451454162598,29.524908065796,
104.451423645020,29.524822235107,
104.451393127441,29.524738311768,
104.451362609863,29.524652481079,
104.451324462891,29.524566650391,
104.451293945312,29.524482727051,
104.451263427734,29.524396896362,
104.451225280762,29.524311065674,
104.451194763184,29.524227142334,
104.451164245605,29.524141311646,
104.451133728027,29.524055480957,
104.451095581055,29.523971557617,
104.451065063477,29.523885726929,
104.451034545898,29.523799896240,
104.450996398926,29.523715972900,
104.450965881348,29.523630142212,
104.450935363770,29.523544311523,
104.450904846191,29.523460388184,
104.450866699219,29.523374557495,
104.450859069824,29.523342132568,
104.450828552246,29.523290634155,
104.450782775879,29.523210525513,
104.450744628906,29.523128509521,
104.450698852539,29.523046493530,
104.450653076172,29.522964477539,
104.450614929199,29.522884368896,
104.450569152832,29.522802352905,
104.450523376465,29.522720336914,
104.450485229492,29.522638320923,
104.450439453125,29.522558212280,
104.450393676758,29.522476196289,
104.450355529785,29.522394180298,
104.450309753418,29.522312164307,
104.450263977051,29.522232055664,
104.450225830078,29.522150039673,
104.450180053711,29.522068023682,
104.450134277344,29.521986007690,
104.450096130371,29.521905899048,
104.450050354004,29.521823883057,
104.450004577637,29.521741867065,
104.449966430664,29.521659851074,
104.449920654297,29.521579742432,
104.449874877930,29.521497726440,
104.449836730957,29.521415710449,
